abandon 51.2
abase 45.4.a
abash 31.1.a#31.1.b
abate 45.4.a#45.4.b#45.4.c
abbreviate 45.4.a
abdicate 51.1.d
abduct 10.5
abhor 31.2.a#31.2.b#31.2.c#31.2.d#31.2.e#31.2.f
abide 062
abjure 29.2.a
abolish 10.1#55.2.a
abort 55.2.a
abound 47.5.1.a#47.5.1.b#47.5.1.c
abrade 45.4.a
abridge 45.4.a
abrogate 55.2.a
absolve 10.6.a
absorb 45.4.a#45.4.b
abstain 55.1.b
abstract 10.1
abuse 33.b
abut 47.8.a#47.8.e
accelerate 45.4.a#45.4.b#45.4.c
accentuate 45.4.a
accept 13.5.2.b#29.2.a#29.2.b#29.2.d
acclaim 33.a.i
acclimate 31.3.i
acclimatize 31.3.i
accommodate 36.1.c
accompany 51.7.i#51.7.ii
accomplish 13.5.1.a
accrue 13.5.2.a
accumulate 13.5.2.c#47.5.2
accurse 33.b
accuse 10.6.a
accustom 31.3.i
acetify 45.4.a#45.4.b#45.4.c
ache 31.3.d#32.2.b#40.8.1
achieve 13.5.1.a
acidify 45.4.a#45.4.b#45.4.c
acknowledge 29.1.a#29.1.a#29.1.b#29.1.d#30.2.b
acquaint 31.1.a
acquire 13.5.2.b
acquit 10.6.a
act 29.6.a#29.6.b
activate 45.4.a
adapt 31.3.i
add 22.1.a#22.1.d
address 25.3#29.2.c#29.2.d
adhere 22.5.a#22.5.b
adjoin 47.8.a#47.8.e
adjourn 55.1.a#55.1.b
adjudge 29.4.e#29.4.f#29.4.g
adjudicate 29.4.e#29.4.f#29.4.g
adjure 37.9.d.ii
adjust 45.4.a
administer 13.2
administrate 36.1.c
admire 31.2.a#31.2.b#31.2.c#31.2.g
admit 024#29.5.d#29.5.e
admonish 37.9.a#37.9.b#37.9.c
adopt 29.1.a#29.1.c#29.1.d#29.1.e
adore 31.2.a#31.2.b#31.2.c#31.2.g
adorn 9.8.a#9.8.b#25.3
adsorb 47.5.2
adulate 31.1.a
adulterate 45.4.a
advance 13.3#13.3#45.4.a#45.4.b#45.4.c#51.1.a#51.1.c
advert 37.7.a
advertise 35.2.a#35.2.a#35.2.b
advise 37.9.a#37.9.b#37.9.c
advocate 31.2.a
aestivate 45.4.a
affect 31.1.a#31.1.b
affiliate 22.2.a#22.2.c
affirm 31.2.b
affix 22.3.c.ii
afflict 31.1.a#31.1.b
afford 005#13.4.1.a
afforest 9.7.d
affront 31.1.a#31.1.b
africanize 45.4.a
age 45.4.a#45.4.b#45.4.c
agglomerate 45.4.a#45.4.b#45.4.c
aggravate 31.1.a#31.1.b#31.1.c
aggregate 47.5.2
aggrieve 31.1.a
agitate 31.1.a#31.1.b#31.1.c
agonize 31.1.a#31.1.b#31.1.c
agree 36.1.c#36.1.d
aid 13.4.2
aim 40.3.1.i
air 45.4.a#45.4.b#45.4.c
airmail 11.1#11.1
alarm 31.1.a#31.1.b#31.1.c
alert 37.9.a#37.9.b#37.9.c
alienate 31.1.a#31.1.b
alkalify 45.4.a#45.4.b#45.4.c
allay 31.1.a
allege 29.5.d#29.5.e
alleviate 31.1.a
allocate 13.3#13.3
allot 13.3#13.3
allow 024#29.5.d#29.5.e
allure 002
alter 26.6#45.4.a#45.4.b#45.4.c
alternate 22.2.a#22.2.c
amalgamate 22.2.a#22.2.c
amass 47.5.2
amaze 31.1.a#31.1.b
amble 51.3.2.a.i#51.3.2.a.ii
ameliorate 45.4.a#45.4.b#45.4.c
americanize 45.4.a#45.4.b#45.4.c
amount 54.1.b
amplify 45.4.a
amputate 45.4.a
amuse 31.1.a#31.1.b#31.1.c
analyze 34.ii
anchor 22.4.a#22.4.b
anesthetize 45.4.a
anger 31.1.a#31.1.b#31.1.c#31.3.h
anglicize 45.4.a
anguish 31.3.h
animate 45.4.a
annex 10.5
annihilate 44.a#44.b
annotate 25.1.b
announce 37.7.a#37.7.b
annoy 31.1.a#31.1.b#31.1.c
annul 10.1
anoint 9.8.a#9.8.b#29.3
answer 37.7.a
antagonize 31.1.a#31.1.b
antecede 47.8.c
anticipate 29.5.a#29.5.b#32.2.a
apologize 32.2.a
antique 13.7
apostatize 45.4.a
appal 31.1.a#31.1.b
appall 31.1.a
appear 020
appeal 31.4.c
appear 005#29.6.b#48.1.1.a
appease 31.1.a#31.1.b
append 22.3.c.ii#22.3.d.ii
applaud 33.a.i#33.b
applique 25.1.a#25.1.b
apply 13.1.a.ii#22.3.c.ii
appoint 29.1.a#29.1.c#29.1.d#29.1.e
apportion 13.3
appraise 54.4
appreciate 29.2.a#29.2.b#29.2.d#31.2.a#31.2.b#31.2.c#31.2.g#45.6
apprehend 10.5
apprentice 29.7
approach 51.1.a
appropriate 13.5.2.a
approve 31.3.f
approximate 54.4
arabicize 45.4.a
arch 40.3.2
archive 9.10
argue 36.1.c#36.1.d#37.6.b
arise 48.1.1.a
arm 13.4.2
armor 13.4.2
aromatize 9.9.ii
arouse 31.1.a#31.1.b#31.1.c
arraign 13.4.2
arrange 9.1#26.1.a#26.1.a#26.1.b
array 41.1.1.ii
arrest 10.5
arrive 51.1.a
articulate 37.7.a#37.7.b
ascend 51.1.a#51.1.e
ascertain 29.2.d
ascribe 13.3
ask 017#015#002#37.1.a#37.1.b#37.1.e
asphalt 9.9.ii
asphyxiate 40.7.i#40.7.ii
aspire 005
assail 33.b
assassinate 42.1.c
assault 33.b
assemble 26.1.a#26.1.a#26.1.b#47.5.2
assert 29.5.d#29.5.e#48.1.2
assess 34.ii#54.4
assign 13.3#13.3
assimilate 14.a
assimulate 45.4.b
assist 13.4.2
associate 22.2.a#22.2.c
assuage 31.1.a#31.1.b#31.1.c
assume 29.4.a#29.4.b#29.4.d
assure 002#37.9.a
astonish 31.1.a#31.1.b#31.1.c
astound 31.1.a#31.1.b
atone 32.2.a
atomize 45.4.a
atrophy 45.4.a#45.4.b#45.4.c
attach 22.3.c.ii#22.3.d.ii
attack 33.b#36.3.a
attain 13.5.1.a
attempt 005
attend 013#47.8.c
attenuate 45.4.a#45.4.b#45.4.c
attest 31.3.i
attire 41.3.3
attract 016#31.4.c
attribute 13.3
audit 34.ii
augment 45.4.a
augur 13.3
authenticate 45.4.a
authorize 45.4.a
autograph 25.3
avenge 33.b
avert 52.a
avoid 52.a#52.b
avow 29.4.e#29.4.f#29.4.g
await 32.2.a
awake 45.4.a#45.4.b#45.4.c#48.1.1.a
awaken 45.4.a#45.4.b#45.4.c#48.1.1.a
award 13.3#13.3
awe 31.1.a#31.1.b
baa 38
babble 37.3.a#37.3.a#37.3.b#37.3.c#43.2.a#43.2.b#43.2.c
back 31.2.a
backbite 33.b
backpack 51.3.2.a.i#51.3.2.a.ii
baffle 31.1.a#31.1.b#31.1.c
bag 9.10
bail 10.4.1.a#10.4.1.b.i#10.4.1.b.ii
bait 9.9.ii
bake 26.1.a#26.1.a#26.1.b#26.3#26.3#45.3.a#45.3.b#45.3.c
balance 45.4.a#45.4.b#45.4.c#47.6.a#47.6.b
bale 9.10
balk 10.6.a#40.3.3.b#40.5
ballast 45.4.a
balloon 45.6#51.4.1.a#51.4.1.b
ban 55.2.a#059
band 22.3.a.i#22.3.a.ii#22.3.d.i#22.3.d.ii#22.4.a#22.4.b
bandage 9.8.a#9.8.b#9.8.e
banish 10.2.a
bang 9.3.b#18.1.a#18.1.b#18.1.c#18.1.d#18.1.e#18.4.a#18.4.b#43.2.a#43.2.b#43.2.d
banish 10.2.b
bank 9.10
banquet 39.5.a
banter 36.1.c#36.1.d
bar 10.2.a
baptize 29.3
barbecue 45.3.a#45.3.b#45.3.c
bare 40.3.2
bargain 36.1.c#36.1.d
barge 11.5#11.5
bark 10.7#37.3.a#37.3.a#37.3.b#37.3.c#38#40.8.3
barricade 16
barter 13.6.a
bash 17.1#17.1#18.1.a#18.1.b#18.1.c#18.1.d#18.1.e
bask 31.3.e
baste 22.3.c.ii#22.3.d.ii
bat 17.1#17.1#40.3.2
bathe 9.8.a#9.8.b#9.8.d#41.1.1.i#41.1.1.ii#41.1.1.iii
batter 18.1.a#18.1.b#18.1.c#18.1.d#18.1.e
battle 36.3.a#36.3.a#36.3.b
bawl 37.3.a#37.3.a#37.3.b#37.3.c
bay 38
be 29.6.a#47.6.a#47.8.c#48.3.a#064#064#066#066#067#067#068#068
bear 014
beach 9.10
beam 40.2.b#43.1.a#43.1.b
bear 005#31.2.a#54.3.a
beard 10.7
beat 18.1.a#18.1.b#18.1.c#18.1.d#18.1.e#22.3.a.ii#22.3.b.i#22.3.b.ii#22.3.d.ii#26.5.a.i#26.5.b#40.3.2#43.2.a#43.2.b#43.2.d
beatify 45.4.a
beautify 45.4.a
beckon 40.3.1.i
become 010#065
bed 9.10
bedew 45.4.a
beep 43.2.a#43.2.b#43.2.d
happen 48.3.b
befall 48.3.b
beg 32.2.a#015
befriend 45.4.a
befuddle 31.1.a
beget 27
begin 55.1.a#55.1.b#55.1.c
beguile 31.1.a#31.1.b
behave 29.6.a#29.6.b
behoove 002
belch 40.1.1#43.4.a#43.4.c#43.4.d
believe 29.4.a#29.4.b#29.4.d#31.3.e#33.a.ii#33.b
belittle 33.b
bellow 37.3.a#37.3.a#37.3.b#37.3.c#38#43.2.a#43.2.b#43.2.c#43.2.d
belong 022#47.8.b
belt 18.3#22.4.a#22.4.b
bench 9.10
bend 26.5.a.ii#26.5.b#45.2.a#45.2.b#45.2.c#47.6.a
bequeath 13.3#13.3
bereave 10.6.a
berry 13.7
berth 9.10
beseech 37.9.d.ii
beset 31.1.a
besiege 47.8.c
bestow 13.3
bestrew 9.8.a#9.8.b
bestride 47.8.f
bet 54.5.a
betray 33.b
bewail 31.2.a
beware 31.3.f
bewilder 31.1.a#31.1.b#31.1.c
bewitch 31.1.a#31.1.b
be_worth 54.2
bicker 36.1.c#36.1.d
bicycle 51.4.1.a#51.4.1.b
bifurcate 45.4.a
bike 51.4.1.a#51.4.1.b
bilk 10.6.a
bill 29.2.c#29.2.d#54.5.a
billet 9.10
billow 47.2.a.i
bin 9.10
bind 9.8.a#9.8.b#9.8.e#22.3.c.ii#22.3.d.ii
birch 18.3
birdnest 13.7
bisect 45.4.a
bite 18.2.a#18.2.b#40.8.3
bivouac 46.b
blab 37.7.a#37.7.b
black 9.9.ii
blackberry 13.7
blacken 45.4.a#45.4.b#45.4.c
blackmail 002
blame 33.b
blanch 40.8.4#45.3.a#45.3.b#45.3.c
blank 10.4.1.b.ii
blanket 9.8.a#9.8.b#9.8.d#9.9.ii#47.8.j
blare 43.2.a#43.2.b#43.2.d
blaspheme 33.b
blast 43.2.a#43.2.b#43.2.d#45.4.a#45.4.b#45.4.c
blat 38#43.2.a#43.2.b
blaze 43.1.a#43.1.b
bleach 45.4.a
bleat 37.3.a#37.3.a#37.3.b#37.3.c#38
bleed 10.6.a#31.3.c#40.1.2#43.4.a#43.4.c#43.4.d#43.4.e
blend 22.1.a#22.1.b#22.1.c#26.3#26.3
bless 33.a.i
blind 45.4.a
blindfold 9.9.ii
blink 40.3.1.i#40.3.1.ii#43.1.a#43.1.b#43.1.c
blister 45.5
blitz 44.a#44.b
block 9.8.a#9.8.b#9.8.e#16
blockade 9.8.b
bloody 45.4.a
bloom 45.5#47.2.a.i#47.2.a.ii#47.2.c
blossom 45.5#47.2.a.i#47.2.a.ii#47.2.c
blot 9.8.a#9.8.b
blow 23.2.a#23.2.b#26.1.a#26.1.a#26.1.b#40.3.2#47.2.a.i#47.2.c#57.b
bludgeon 18.3
bluff 002
blunt 45.4.a#45.4.b#45.4.c
blur 45.4.a#45.4.b#45.4.c
blurt 37.7.a#37.7.b
blush 40.1.1
board 9.9.ii#46.b
boast 37.8.b#37.8.b
boat 51.4.1.a#51.4.1.b
bob 40.3.3.a#41.2.2#47.3.a#47.3.b
bobsled 51.4.1.a#51.4.1.b
boggle 31.1.a#31.1.b#31.1.c
boil 26.3#26.3#45.3.a#45.3.b#45.3.c
bolshevize 45.4.a
